id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa
1205	Univ California - Davis	24729	10422	3975	1400	20800	16491
1206	Univ Colorado - Denver	15647	6556	2686	809	12826	10378
1207	Wayne State Univ	9000	3888	1218	392	7275	5586
1208	Duke Univ	33415	11846	6229	1792	29362	23069
1209	Univ Oregon	4508	1903	735	253	3661	2858
1212	Univ Arkansas - Fayetteville	4546	2231	482	171	3597	2071
1213	Colorado State Univ	9922	4494	1462	525	8111	5625
1214	Univ Florida	27280	12093	3736	1321	22222	15525
1215	Univ Texas - Med Branch - Galveston	3835	1756	527	196	3085	2746
1216	Dartmouth Coll	6373	2816	1136	424	5260	4523
1218	Univ Hawaii - Manoa	9091	3265	1263	338	8052	5875
1219	Baylor Coll Med	12785	4874	2301	692	11066	8833
1220	Rice Univ	6609	2651	1174	429	5644	4249
1221	Univ Houston - Houston	7824	3516	933	358	6523	3765
1222	Univ Texas - Hlth Sci Ctr - Houston	21962	9391	4293	1467	18236	14894
1223	Indiana Univ - Purdue Univ Indianapolis	11223	4709	1672	508	9328	8185
1224	Univ Iowa	14015	5942	2044	667	11370	9045
1225	Univ California - Irvine	15174	6526	2651	919	12311	10498
1226	Cornell Univ	28651	12779	5588	2201	23391	18968
1228	Univ Tennessee - Knoxville	15890	7007	2313	795	13108	9109
1230	Purdue Univ - W Lafayette	18724	9194	2556	1107	14544	9904
1231	Michigan State Univ	17855	7923	2587	957	14638	10216
1232	Univ Kansas	10417	4521	1410	443	8441	6137
1233	Univ Kentucky	10968	5256	1414	541	8585	6056
1234	Univ Nebraska - Lincoln	8626	3779	1060	398	7167	5207
1235	Univ Arkansas Med Sci - Little Rock	3510	1617	450	158	2825	2142
1237	Univ California - Los Angeles	33599	13675	6249	2237	28334	22930
1238	Univ South California	19009	8587	3212	1170	15165	11725
1239	Univ Louisville	6328	2861	788	261	5028	3477
1240	Texas Tech Univ	7298	3299	782	289	5754	3463
1241	Univ Wisconsin - Madison	26773	12465	4310	1666	21218	17412
1242	Kansas State Univ	6318	2842	728	254	5107	3584
1243	Loyola Univ Chicago	2990	1351	396	111	2357	1602
1245	Univ Miami	12221	5452	1808	615	9827	7129
1246	Med Coll Wisconsin	5592	2362	834	236	4543	3594
